                                               TEST REPORT
----------------------------------------------------------------------------------------------------
Date            : 18-11-2025
Time            : 18-30-39
Unit SI No      : 999
DTC SI No       : 999
Test No         : 999
Inspector's Name: 999
DTC             : Darin2
Iteration Number: 1000   Duration        : 0

Test             Itrn No         PASS/FAIL          Date          Time
Read             19                 PASS             18-11-2025    18-32-13
LoopBack         20                 FAIL             18-11-2025    18-32-14
Erase            20                 PASS             18-11-2025    18-32-17
Write            20                 PASS             18-11-2025    18-32-18
Read             20                 PASS             18-11-2025    18-32-18
LoopBack         21                 FAIL             18-11-2025    18-32-19
Erase            21                 PASS             18-11-2025    18-32-22
Write            21                 PASS             18-11-2025    18-32-23
Read             21                 PASS             18-11-2025    18-32-23
LoopBack         22                 FAIL             18-11-2025    18-32-24
Erase            22                 PASS             18-11-2025    18-32-27
Write            22                 PASS             18-11-2025    18-32-28
Read             22                 PASS             18-11-2025    18-32-28
LoopBack         23                 FAIL             18-11-2025    18-32-29
Erase            23                 PASS             18-11-2025    18-32-32
Write            23                 PASS             18-11-2025    18-32-33
Read             23                 PASS             18-11-2025    18-32-33
LoopBack         24                 FAIL             18-11-2025    18-32-34
Erase            24                 PASS             18-11-2025    18-32-37
Write            24                 PASS             18-11-2025    18-32-38
Read             24                 PASS             18-11-2025    18-32-38
LoopBack         25                 FAIL             18-11-2025    18-32-39
Erase            25                 PASS             18-11-2025    18-32-42
Write            25                 PASS             18-11-2025    18-32-43
Read             25                 PASS             18-11-2025    18-32-43
LoopBack         26                 FAIL             18-11-2025    18-32-44
Erase            26                 PASS             18-11-2025    18-32-47
Write            26                 PASS             18-11-2025    18-32-48
Read             26                 PASS             18-11-2025    18-32-48
LoopBack         27                 FAIL             18-11-2025    18-32-49
Erase            27                 PASS             18-11-2025    18-32-52
Write            27                 PASS             18-11-2025    18-32-53
Read             27                 PASS             18-11-2025    18-32-53
LoopBack         28                 FAIL             18-11-2025    18-32-54
Erase            28                 PASS             18-11-2025    18-32-57
Write            28                 PASS             18-11-2025    18-32-58
Read             28                 PASS             18-11-2025    18-32-58
LoopBack         29                 FAIL             18-11-2025    18-32-59
Erase            29                 PASS             18-11-2025    18-33-02
Write            29                 PASS             18-11-2025    18-33-03
Read             29                 PASS             18-11-2025    18-33-03
LoopBack         30                 FAIL             18-11-2025    18-33-04
Erase            30                 PASS             18-11-2025    18-33-07
Write            30                 PASS             18-11-2025    18-33-08
Read             30                 PASS             18-11-2025    18-33-08
LoopBack         31                 FAIL             18-11-2025    18-33-09
Erase            31                 PASS             18-11-2025    18-33-12
Write            31                 PASS             18-11-2025    18-33-13
Read             31                 PASS             18-11-2025    18-33-13
LoopBack         32                 FAIL             18-11-2025    18-33-14
Erase            32                 PASS             18-11-2025    18-33-17
Write            32                 PASS             18-11-2025    18-33-18
Read             32                 PASS             18-11-2025    18-33-18
LoopBack         33                 FAIL             18-11-2025    18-33-19
Erase            33                 PASS             18-11-2025    18-33-22
Write            33                 PASS             18-11-2025    18-33-23
Read             33                 PASS             18-11-2025    18-33-23
LoopBack         34                 FAIL             18-11-2025    18-33-24
Erase            34                 PASS             18-11-2025    18-33-27
Write            34                 PASS             18-11-2025    18-33-28
Read             34                 PASS             18-11-2025    18-33-28
LoopBack         35                 FAIL             18-11-2025    18-33-29
Erase            35                 PASS             18-11-2025    18-33-32
Write            35                 PASS             18-11-2025    18-33-33
Read             35                 PASS             18-11-2025    18-33-33
LoopBack         36                 FAIL             18-11-2025    18-33-34
Erase            36                 PASS             18-11-2025    18-33-37
Write            36                 PASS             18-11-2025    18-33-38
Read             36                 PASS             18-11-2025    18-33-38
LoopBack         37                 FAIL             18-11-2025    18-33-39
Erase            37                 PASS             18-11-2025    18-33-42
Write            37                 PASS             18-11-2025    18-33-43
Read             37                 PASS             18-11-2025    18-33-43
LoopBack         38                 FAIL             18-11-2025    18-33-44
Erase            38                 PASS             18-11-2025    18-33-47
Write            38                 PASS             18-11-2025    18-33-48
Read             38                 PASS             18-11-2025    18-33-48
LoopBack         39                 FAIL             18-11-2025    18-33-49
Erase            39                 PASS             18-11-2025    18-33-52
Write            39                 PASS             18-11-2025    18-33-53
Read             39                 PASS             18-11-2025    18-33-53
LoopBack         40                 FAIL             18-11-2025    18-33-54
Erase            40                 PASS             18-11-2025    18-33-57
Write            40                 PASS             18-11-2025    18-33-58
Read             40                 PASS             18-11-2025    18-33-58
LoopBack         41                 FAIL             18-11-2025    18-33-59
Erase            41                 PASS             18-11-2025    18-34-02
Write            41                 PASS             18-11-2025    18-34-03
Read             41                 PASS             18-11-2025    18-34-03
LoopBack         42                 FAIL             18-11-2025    18-34-04
Erase            42                 PASS             18-11-2025    18-34-07
Write            42                 PASS             18-11-2025    18-34-08
Read             42                 PASS             18-11-2025    18-34-08
LoopBack         43                 FAIL             18-11-2025    18-34-09
Erase            43                 PASS             18-11-2025    18-34-12
Write            43                 PASS             18-11-2025    18-34-13
Read             43                 PASS             18-11-2025    18-34-13
LoopBack         44                 FAIL             18-11-2025    18-34-14
Erase            44                 PASS             18-11-2025    18-34-17
Write            44                 PASS             18-11-2025    18-34-18
Read             44                 PASS             18-11-2025    18-34-18
LoopBack         45                 FAIL             18-11-2025    18-34-19
Erase            45                 PASS             18-11-2025    18-34-22
Write            45                 PASS             18-11-2025    18-34-22
Read             45                 PASS             18-11-2025    18-34-23
LoopBack         46                 FAIL             18-11-2025    18-34-24
Erase            46                 PASS             18-11-2025    18-34-27
Write            46                 PASS             18-11-2025    18-34-27
Read             46                 PASS             18-11-2025    18-34-28
LoopBack         47                 FAIL             18-11-2025    18-34-29
Erase            47                 PASS             18-11-2025    18-34-32
Write            47                 PASS             18-11-2025    18-34-32
Read             47                 PASS             18-11-2025    18-34-33
LoopBack         48                 FAIL             18-11-2025    18-34-34
Erase            48                 PASS             18-11-2025    18-34-37
Write            48                 PASS             18-11-2025    18-34-37
Read             48                 PASS             18-11-2025    18-34-38
LoopBack         49                 FAIL             18-11-2025    18-34-39
Erase            49                 PASS             18-11-2025    18-34-42
Write            49                 PASS             18-11-2025    18-34-42
Read             49                 PASS             18-11-2025    18-34-43
LoopBack         50                 FAIL             18-11-2025    18-34-44
Erase            50                 PASS             18-11-2025    18-34-47
Write            50                 PASS             18-11-2025    18-34-47
Read             50                 PASS             18-11-2025    18-34-48
LoopBack         51                 FAIL             18-11-2025    18-34-49
Erase            51                 PASS             18-11-2025    18-34-52
Write            51                 PASS             18-11-2025    18-34-52
Read             51                 PASS             18-11-2025    18-34-53
LoopBack         52                 FAIL             18-11-2025    18-34-54
Erase            52                 PASS             18-11-2025    18-34-57
Write            52                 PASS             18-11-2025    18-34-57
Read             52                 PASS             18-11-2025    18-34-58
LoopBack         53                 FAIL             18-11-2025    18-34-59
Erase            53                 PASS             18-11-2025    18-35-02
Write            53                 PASS             18-11-2025    18-35-02
Read             53                 PASS             18-11-2025    18-35-03
LoopBack         54                 FAIL             18-11-2025    18-35-04
Erase            54                 PASS             18-11-2025    18-35-07
Write            54                 PASS             18-11-2025    18-35-07
Read             54                 PASS             18-11-2025    18-35-08
LoopBack         55                 FAIL             18-11-2025    18-35-09
Erase            55                 PASS             18-11-2025    18-35-12
Write            55                 PASS             18-11-2025    18-35-12
Read             55                 PASS             18-11-2025    18-35-13
LoopBack         56                 FAIL             18-11-2025    18-35-14
Erase            56                 PASS             18-11-2025    18-35-17
Write            56                 PASS             18-11-2025    18-35-17
Read             56                 PASS             18-11-2025    18-35-18
LoopBack         57                 FAIL             18-11-2025    18-35-19
Erase            57                 PASS             18-11-2025    18-35-22
Write            57                 PASS             18-11-2025    18-35-22
Read             57                 PASS             18-11-2025    18-35-23
LoopBack         58                 FAIL             18-11-2025    18-35-24
Erase            58                 PASS             18-11-2025    18-35-27
Write            58                 PASS             18-11-2025    18-35-27
Read             58                 PASS             18-11-2025    18-35-28
LoopBack         59                 FAIL             18-11-2025    18-35-29
Erase            59                 PASS             18-11-2025    18-35-32
Write            59                 PASS             18-11-2025    18-35-32
Read             59                 PASS             18-11-2025    18-35-33
LoopBack         60                 FAIL             18-11-2025    18-35-34
Erase            60                 PASS             18-11-2025    18-35-37
Write            60                 PASS             18-11-2025    18-35-37
Read             60                 PASS             18-11-2025    18-35-38
LoopBack         61                 FAIL             18-11-2025    18-35-39
Erase            61                 PASS             18-11-2025    18-35-42
Write            61                 PASS             18-11-2025    18-35-42
Read             61                 PASS             18-11-2025    18-35-43
LoopBack         62                 FAIL             18-11-2025    18-35-44
Erase            62                 PASS             18-11-2025    18-35-47
Write            62                 PASS             18-11-2025    18-35-47
Read             62                 PASS             18-11-2025    18-35-48
LoopBack         63                 FAIL             18-11-2025    18-35-49
Erase            63                 PASS             18-11-2025    18-35-52
Write            63                 PASS             18-11-2025    18-35-53
Read             63                 PASS             18-11-2025    18-35-53
LoopBack         64                 FAIL             18-11-2025    18-35-54
Erase            64                 PASS             18-11-2025    18-35-57
Write            64                 PASS             18-11-2025    18-35-58
Read             64                 PASS             18-11-2025    18-35-59
LoopBack         65                 FAIL             18-11-2025    18-35-59
Erase            65                 PASS             18-11-2025    18-36-03
Write            65                 PASS             18-11-2025    18-36-03
Read             65                 PASS             18-11-2025    18-36-04
LoopBack         66                 FAIL             18-11-2025    18-36-05
Erase            66                 PASS             18-11-2025    18-36-08
Write            66                 PASS             18-11-2025    18-36-09
Read             66                 PASS             18-11-2025    18-36-09
LoopBack         67                 FAIL             18-11-2025    18-36-10
Erase            67                 PASS             18-11-2025    18-36-14
Write            67                 PASS             18-11-2025    18-36-14
Read             67                 PASS             18-11-2025    18-36-15
LoopBack         68                 FAIL             18-11-2025    18-36-16
Erase            68                 PASS             18-11-2025    18-36-19
Write            68                 PASS             18-11-2025    18-36-20
Read             68                 PASS             18-11-2025    18-36-21
LoopBack         69                 FAIL             18-11-2025    18-36-21
Erase            69                 PASS             18-11-2025    18-36-25
Write            69                 PASS             18-11-2025    18-36-26
Read             69                 PASS             18-11-2025    18-36-26
LoopBack         70                 FAIL             18-11-2025    18-36-27
Erase            70                 PASS             18-11-2025    18-36-31
Write            70                 PASS             18-11-2025    18-36-31
Read             70                 PASS             18-11-2025    18-36-32
LoopBack         71                 FAIL             18-11-2025    18-36-33
Erase            71                 PASS             18-11-2025    18-36-36
Write            71                 PASS             18-11-2025    18-36-37
Read             71                 PASS             18-11-2025    18-36-38
LoopBack         72                 FAIL             18-11-2025    18-36-38
Erase            72                 PASS             18-11-2025    18-36-42
Write            72                 PASS             18-11-2025    18-36-42
Read             72                 PASS             18-11-2025    18-36-43
LoopBack         73                 FAIL             18-11-2025    18-36-44
Erase            73                 PASS             18-11-2025    18-36-48
Write            73                 PASS             18-11-2025    18-36-49
Read             73                 PASS             18-11-2025    18-36-49
LoopBack         74                 FAIL             18-11-2025    18-36-50
Erase            74                 PASS             18-11-2025    18-36-53
Write            74                 PASS             18-11-2025    18-36-54
Read             74                 PASS             18-11-2025    18-36-55
LoopBack         75                 FAIL             18-11-2025    18-36-55
Erase            75                 PASS             18-11-2025    18-36-59
Write            75                 PASS             18-11-2025    18-36-59
Read             75                 PASS             18-11-2025    18-37-00
LoopBack         76                 FAIL             18-11-2025    18-37-01
Erase            76                 PASS             18-11-2025    18-37-04
Write            76                 PASS             18-11-2025    18-37-05
Read             76                 PASS             18-11-2025    18-37-05
LoopBack         77                 FAIL             18-11-2025    18-37-06
Erase            77                 PASS             18-11-2025    18-37-09
Write            77                 PASS             18-11-2025    18-37-10
Read             77                 PASS             18-11-2025    18-37-11
LoopBack         78                 FAIL             18-11-2025    18-37-11
Erase            78                 PASS             18-11-2025    18-37-15
Write            78                 PASS             18-11-2025    18-37-15
Read             78                 PASS             18-11-2025    18-37-16
LoopBack         79                 FAIL             18-11-2025    18-37-17
Erase            79                 PASS             18-11-2025    18-37-20
Write            79                 PASS             18-11-2025    18-37-21
Read             79                 PASS             18-11-2025    18-37-22
LoopBack         80                 FAIL             18-11-2025    18-37-22
Erase            80                 PASS             18-11-2025    18-37-26
Write            80                 PASS             18-11-2025    18-37-26
Read             80                 PASS             18-11-2025    18-37-27
LoopBack         81                 FAIL             18-11-2025    18-37-28
Erase            81                 PASS             18-11-2025    18-37-31
Write            81                 PASS             18-11-2025    18-37-32
Read             81                 PASS             18-11-2025    18-37-32
LoopBack         82                 FAIL             18-11-2025    18-37-33
Erase            82                 PASS             18-11-2025    18-37-36
Write            82                 PASS             18-11-2025    18-37-37
Read             82                 PASS             18-11-2025    18-37-38
LoopBack         83                 FAIL             18-11-2025    18-37-38
Erase            83                 PASS             18-11-2025    18-37-42
Write            83                 PASS             18-11-2025    18-37-42
Read             83                 PASS             18-11-2025    18-37-43
LoopBack         84                 FAIL             18-11-2025    18-37-44
Erase            84                 PASS             18-11-2025    18-37-47
Write            84                 PASS             18-11-2025    18-37-48
Read             84                 PASS             18-11-2025    18-37-48
LoopBack         85                 FAIL             18-11-2025    18-37-49
Erase            85                 PASS             18-11-2025    18-37-53
Write            85                 PASS             18-11-2025    18-37-53
Read             85                 PASS             18-11-2025    18-37-54
LoopBack         86                 FAIL             18-11-2025    18-37-55
Erase            86                 PASS             18-11-2025    18-37-58
Write            86                 PASS             18-11-2025    18-37-59
Read             86                 PASS             18-11-2025    18-37-59
LoopBack         87                 FAIL             18-11-2025    18-38-00
Erase            87                 PASS             18-11-2025    18-38-04
Write            87                 PASS             18-11-2025    18-38-04
Read             87                 PASS             18-11-2025    18-38-05
LoopBack         88                 FAIL             18-11-2025    18-38-06
Erase            88                 PASS             18-11-2025    18-38-09
Write            88                 PASS             18-11-2025    18-38-10
Read             88                 PASS             18-11-2025    18-38-10
LoopBack         89                 FAIL             18-11-2025    18-38-11
Erase            89                 PASS             18-11-2025    18-38-14
Write            89                 PASS             18-11-2025    18-38-15
Read             89                 PASS             18-11-2025    18-38-16
LoopBack         90                 FAIL             18-11-2025    18-38-16
Erase            90                 PASS             18-11-2025    18-38-20
Write            90                 PASS             18-11-2025    18-38-20
Read             90                 PASS             18-11-2025    18-38-21
LoopBack         91                 FAIL             18-11-2025    18-38-22
Erase            91                 PASS             18-11-2025    18-38-25
Write            91                 PASS             18-11-2025    18-38-26
Read             91                 PASS             18-11-2025    18-38-26
LoopBack         92                 FAIL             18-11-2025    18-38-27
Erase            92                 PASS             18-11-2025    18-38-31
Write            92                 PASS             18-11-2025    18-38-31
Read             92                 PASS             18-11-2025    18-38-32
LoopBack         93                 FAIL             18-11-2025    18-38-33
Erase            93                 PASS             18-11-2025    18-38-36
Write            93                 PASS             18-11-2025    18-38-37
Read             93                 PASS             18-11-2025    18-38-37
LoopBack         94                 FAIL             18-11-2025    18-38-38
Erase            94                 PASS             18-11-2025    18-38-41
Write            94                 PASS             18-11-2025    18-38-42
Read             94                 PASS             18-11-2025    18-38-43
LoopBack         95                 FAIL             18-11-2025    18-38-43
Erase            95                 PASS             18-11-2025    18-38-47
Write            95                 PASS             18-11-2025    18-38-47
Read             95                 PASS             18-11-2025    18-38-48
LoopBack         96                 FAIL             18-11-2025    18-38-49
Erase            96                 PASS             18-11-2025    18-38-52
Write            96                 PASS             18-11-2025    18-38-53
Read             96                 PASS             18-11-2025    18-38-53
LoopBack         97                 FAIL             18-11-2025    18-38-54
Erase            97                 PASS             18-11-2025    18-38-58
Write            97                 PASS             18-11-2025    18-38-58
Read             97                 PASS             18-11-2025    18-38-59
LoopBack         98                 FAIL             18-11-2025    18-39-00
Erase            98                 PASS             18-11-2025    18-39-03
Write            98                 PASS             18-11-2025    18-39-04
Read             98                 PASS             18-11-2025    18-39-04
LoopBack         99                 FAIL             18-11-2025    18-39-05
Erase            99                 PASS             18-11-2025    18-39-08
Write            99                 PASS             18-11-2025    18-39-09
Read             99                 PASS             18-11-2025    18-39-10
LoopBack         100                 FAIL             18-11-2025    18-39-10
Erase            100                 PASS             18-11-2025    18-39-14
Write            100                 PASS             18-11-2025    18-39-14
Read             100                 PASS             18-11-2025    18-39-15
LoopBack         101                 FAIL             18-11-2025    18-39-16
Erase            101                 PASS             18-11-2025    18-39-19
Write            101                 PASS             18-11-2025    18-39-20
Read             101                 PASS             18-11-2025    18-39-21
LoopBack         102                 FAIL             18-11-2025    18-39-21
Erase            102                 PASS             18-11-2025    18-39-25
Write            102                 PASS             18-11-2025    18-39-25
Read             102                 PASS             18-11-2025    18-39-26
LoopBack         103                 FAIL             18-11-2025    18-39-27
Erase            103                 PASS             18-11-2025    18-39-30
Write            103                 PASS             18-11-2025    18-39-31
Read             103                 PASS             18-11-2025    18-39-31
LoopBack         104                 FAIL             18-11-2025    18-39-32
Erase            104                 PASS             18-11-2025    18-39-35
Write            104                 PASS             18-11-2025    18-39-36
Read             104                 PASS             18-11-2025    18-39-37
LoopBack         105                 FAIL             18-11-2025    18-39-38
Erase            105                 PASS             18-11-2025    18-39-41
Write            105                 PASS             18-11-2025    18-39-41
Read             105                 PASS             18-11-2025    18-39-42
LoopBack         106                 FAIL             18-11-2025    18-39-43
Erase            106                 PASS             18-11-2025    18-39-46
Write            106                 PASS             18-11-2025    18-39-47
Read             106                 PASS             18-11-2025    18-39-47
LoopBack         107                 FAIL             18-11-2025    18-39-48
Erase            107                 PASS             18-11-2025    18-39-52
Write            107                 PASS             18-11-2025    18-39-52
Read             107                 PASS             18-11-2025    18-39-53
LoopBack         108                 FAIL             18-11-2025    18-39-54
Erase            108                 PASS             18-11-2025    18-39-57
Write            108                 PASS             18-11-2025    18-39-58
Read             108                 PASS             18-11-2025    18-39-58
LoopBack         109                 FAIL             18-11-2025    18-39-59
Erase            109                 PASS             18-11-2025    18-40-02
Write            109                 PASS             18-11-2025    18-40-03
Read             109                 PASS             18-11-2025    18-40-04
LoopBack         110                 FAIL             18-11-2025    18-40-04
Erase            110                 PASS             18-11-2025    18-40-08
Write            110                 PASS             18-11-2025    18-40-08
Read             110                 PASS             18-11-2025    18-40-09
LoopBack         111                 FAIL             18-11-2025    18-40-10
Erase            111                 PASS             18-11-2025    18-40-13
Write            111                 PASS             18-11-2025    18-40-14
Read             111                 PASS             18-11-2025    18-40-14
LoopBack         112                 FAIL             18-11-2025    18-40-15
Erase            112                 PASS             18-11-2025    18-40-19
Write            112                 PASS             18-11-2025    18-40-19
Read             112                 PASS             18-11-2025    18-40-20
LoopBack         113                 FAIL             18-11-2025    18-40-21
Erase            113                 PASS             18-11-2025    18-40-24
Write            113                 PASS             18-11-2025    18-40-24
Read             113                 PASS             18-11-2025    18-40-25
LoopBack         114                 FAIL             18-11-2025    18-40-26
Erase            114                 PASS             18-11-2025    18-40-29
Write            114                 PASS             18-11-2025    18-40-30
Read             114                 PASS             18-11-2025    18-40-30
LoopBack         115                 FAIL             18-11-2025    18-40-31
Erase            115                 PASS             18-11-2025    18-40-35
Write            115                 PASS             18-11-2025    18-40-35
Read             115                 PASS             18-11-2025    18-40-36
LoopBack         116                 FAIL             18-11-2025    18-40-37
Erase            116                 PASS             18-11-2025    18-40-40
Write            116                 PASS             18-11-2025    18-40-41
Read             116                 PASS             18-11-2025    18-40-41
LoopBack         117                 FAIL             18-11-2025    18-40-42
Erase            117                 PASS             18-11-2025    18-40-45
Write            117                 PASS             18-11-2025    18-40-46
Read             117                 PASS             18-11-2025    18-40-47
LoopBack         118                 FAIL             18-11-2025    18-40-47
Erase            118                 PASS             18-11-2025    18-40-51
Write            118                 PASS             18-11-2025    18-40-51
Read             118                 PASS             18-11-2025    18-40-52
LoopBack         119                 FAIL             18-11-2025    18-40-53
Erase            119                 PASS             18-11-2025    18-40-56
Write            119                 PASS             18-11-2025    18-40-57
Read             119                 PASS             18-11-2025    18-40-58
LoopBack         120                 FAIL             18-11-2025    18-40-58
Erase            120                 PASS             18-11-2025    18-41-02
Write            120                 PASS             18-11-2025    18-41-02
Read             120                 PASS             18-11-2025    18-41-03
LoopBack         121                 FAIL             18-11-2025    18-41-04
Erase            121                 PASS             18-11-2025    18-41-07
Write            121                 PASS             18-11-2025    18-41-08
Read             121                 PASS             18-11-2025    18-41-08
LoopBack         122                 FAIL             18-11-2025    18-41-09
Erase            122                 PASS             18-11-2025    18-41-13
Write            122                 PASS             18-11-2025    18-41-13
Read             122                 PASS             18-11-2025    18-41-14
LoopBack         123                 FAIL             18-11-2025    18-41-15
Erase            123                 PASS             18-11-2025    18-41-18
Write            123                 PASS             18-11-2025    18-41-19
Read             123                 PASS             18-11-2025    18-41-19
LoopBack         124                 FAIL             18-11-2025    18-41-20
Erase            124                 PASS             18-11-2025    18-41-23
Write            124                 PASS             18-11-2025    18-41-24
Read             124                 PASS             18-11-2025    18-41-25
LoopBack         125                 FAIL             18-11-2025    18-41-25
Erase            125                 PASS             18-11-2025    18-41-29
Write            125                 PASS             18-11-2025    18-41-29
Read             125                 PASS             18-11-2025    18-41-30
LoopBack         126                 FAIL             18-11-2025    18-41-31
Erase            126                 PASS             18-11-2025    18-41-34
Write            126                 PASS             18-11-2025    18-41-35
Read             126                 PASS             18-11-2025    18-41-35
LoopBack         127                 FAIL             18-11-2025    18-41-36
Erase            127                 PASS             18-11-2025    18-41-40
Write            127                 PASS             18-11-2025    18-41-40
Read             127                 PASS             18-11-2025    18-41-41
LoopBack         128                 FAIL             18-11-2025    18-41-42
Erase            128                 PASS             18-11-2025    18-41-45
Write            128                 PASS             18-11-2025    18-41-46
Read             128                 PASS             18-11-2025    18-41-46
LoopBack         129                 FAIL             18-11-2025    18-41-47
Erase            129                 PASS             18-11-2025    18-41-50
Write            129                 PASS             18-11-2025    18-41-51
Read             129                 PASS             18-11-2025    18-41-52
LoopBack         130                 FAIL             18-11-2025    18-41-52
Erase            130                 PASS             18-11-2025    18-41-56
Write            130                 PASS             18-11-2025    18-41-56
Read             130                 PASS             18-11-2025    18-41-57
LoopBack         131                 FAIL             18-11-2025    18-41-58
Erase            131                 PASS             18-11-2025    18-42-01
Write            131                 PASS             18-11-2025    18-42-02
Read             131                 PASS             18-11-2025    18-42-02
LoopBack         132                 FAIL             18-11-2025    18-42-03
Erase            132                 PASS             18-11-2025    18-42-07
Write            132                 PASS             18-11-2025    18-42-07
Read             132                 PASS             18-11-2025    18-42-08
LoopBack         133                 FAIL             18-11-2025    18-42-09
Erase            133                 PASS             18-11-2025    18-42-12
Write            133                 PASS             18-11-2025    18-42-12
Read             133                 PASS             18-11-2025    18-42-13
LoopBack         134                 FAIL             18-11-2025    18-42-14
Erase            134                 PASS             18-11-2025    18-42-17
Write            134                 PASS             18-11-2025    18-42-18
Read             134                 PASS             18-11-2025    18-42-19
LoopBack         135                 FAIL             18-11-2025    18-42-19
Erase            135                 PASS             18-11-2025    18-42-23
Write            135                 PASS             18-11-2025    18-42-23
Read             135                 PASS             18-11-2025    18-42-24
LoopBack         136                 FAIL             18-11-2025    18-42-25
Erase            136                 PASS             18-11-2025    18-42-28
Write            136                 PASS             18-11-2025    18-42-29
Read             136                 PASS             18-11-2025    18-42-29
LoopBack         137                 FAIL             18-11-2025    18-42-30
Erase            137                 PASS             18-11-2025    18-42-34
Write            137                 PASS             18-11-2025    18-42-34
Read             137                 PASS             18-11-2025    18-42-35
LoopBack         138                 FAIL             18-11-2025    18-42-36
Erase            138                 PASS             18-11-2025    18-42-39
Write            138                 PASS             18-11-2025    18-42-39
Read             138                 PASS             18-11-2025    18-42-40
LoopBack         139                 FAIL             18-11-2025    18-42-41
Erase            139                 PASS             18-11-2025    18-42-44
Write            139                 PASS             18-11-2025    18-42-45
Read             139                 PASS             18-11-2025    18-42-45
LoopBack         140                 FAIL             18-11-2025    18-42-46
Erase            140                 PASS             18-11-2025    18-42-50
Write            140                 PASS             18-11-2025    18-42-50
Read             140                 PASS             18-11-2025    18-42-51
LoopBack         141                 FAIL             18-11-2025    18-42-52
Erase            141                 PASS             18-11-2025    18-42-55
Write            141                 PASS             18-11-2025    18-42-56
Read             141                 PASS             18-11-2025    18-42-56
LoopBack         142                 FAIL             18-11-2025    18-42-57
